iter	RMSE
135	0.7326805557
136	0.7325255649
137	0.7322507524
138	0.7320588895
139	0.7319227789
140	0.7316988071
141	0.7309737443
142	0.7307540229
143	0.730528255
144	0.7303463081
145	0.7301325934
146	0.7299763694
147	0.7297370371
148	0.7295066137
149	0.7292945168
150	0.7290861478
151	0.7287792131
152	0.728642546
153	0.7284338716
154	0.7281686252
155	0.7280719894
156	0.7280541485
157	0.7278297721
158	0.7276691104
159	0.7275235059
160	0.7273194254
161	0.7272004376
162	0.7270716058
163	0.7269553886
164	0.7267730239
165	0.726494681
166	0.7257554849
167	0.7256618613
168	0.7255979575
169	0.7252977413
170	0.7251104598
171	0.72481308
172	0.724593591
173	0.7243731883
174	0.7242051246
175	0.72402557
176	0.7239261058
177	0.7237641938
178	0.7236742677
179	0.7233586725
180	0.7232369082
181	0.7230802606
182	0.722790712
183	0.7226914672
184	0.722532681
185	0.7223683387
186	0.7220163729
187	0.7218149719
188	0.7216670524
189	0.7215902353
190	0.7215013335
191	0.7212252197
192	0.7209617773
193	0.7208040584
194	0.7206584377
195	0.7204084164
196	0.7202799491
197	0.7201337453
198	0.7200176619
199	0.7198121815
200	0.7196400234
201	0.7194725947
202	0.7193692643
203	0.7191988718
204	0.7190871391
205	0.7189056439
206	0.7186638945
207	0.7185936656
208	0.7184828699
209	0.7182903759
210	0.7180894801
211	0.7178473932
212	0.7177415822
213	0.7174893522
214	0.717344354
215	0.7171813136
216	0.7170202957
217	0.7169127426
218	0.7168069096
219	0.7166451215
220	0.7165028789
221	0.7163035831
222	0.7162088586
223	0.7159712404
224	0.7158815855
225	0.715654758
226	0.7155081077
227	0.7154256166
228	0.7150710067
229	0.7149599191
230	0.7148801499
231	0.7147011838
232	0.7144621536
233	0.7139813908
234	0.7137710336
235	0.7135783617
236	0.7135431208
237	0.7134541303
238	0.7132233189
239	0.7127462138
240	0.7125509881
241	0.7121824169
242	0.7120078982
243	0.7117495946
244	0.7114474022
245	0.7113255254
246	0.7111103291
247	0.7110162462
248	0.7108533361
249	0.7107238972
250	0.710523047
251	0.7103877296
252	0.7102825179
253	0.710200305
254	0.7101193405
255	0.709927189
256	0.7095689126
257	0.7095349205
258	0.7093685038
259	0.7092347255
260	0.7090547852
261	0.7089606407
262	0.7088948052
263	0.7085277119
264	0.7084275863
265	0.7083015738
266	0.7080857359
267	0.7079270743
268	0.7077740308
269	0.7076871648
270	0.7074686874
271	0.7072856452
272	0.7069993565
273	0.7068489365
274	0.7066762746
275	0.7065582232
276	0.7064710466
277	0.7063153073
278	0.706145758
279	0.7058080691
280	0.7055122695
281	0.7051944992
282	0.7048577888
283	0.7045277427
284	0.7042824285
285	0.7041852015
286	0.7040826718
287	0.7038740958
288	0.703730672
289	0.7036772382
290	0.7035629195
291	0.7034005436
292	0.7033482886
293	0.7030343287
294	0.7027351362
295	0.7026538713
296	0.7024065187
297	0.7021412193
298	0.7019956782
299	0.7018558652
300	0.7016683829
301	0.701542973
302	0.7013574244
303	0.7012466808
304	0.7011432155
305	0.7010601736
306	0.7010005586
307	0.7009115917
308	0.7007133141
309	0.7005805231
310	0.7004770309
311	0.7004258817
312	0.700290471
313	0.700202802
314	0.700036701
315	0.6998834275
316	0.6995906855
317	0.6993198677
318	0.6990599035
319	0.6987591835
320	0.6986858816
321	0.698606526
322	0.6985050754
323	0.6984117026
324	0.6983690579
325	0.6982310999
326	0.6980943857
327	0.697885067
328	0.697783452
329	0.6976843905
330	0.6976185702
331	0.6973443035
332	0.6972641762
333	0.6971978738
334	0.6970746129
335	0.6969815205
336	0.6967406309
337	0.6966428514
338	0.6964244118
339	0.6963114699
340	0.6961998831
341	0.6959901511
342	0.6958654312
343	0.6957976081
344	0.6957500837
345	0.695636181
346	0.6955387351
347	0.6952763963
348	0.6950483953
349	0.6947787127
350	0.694495316
351	0.6943336499
352	0.6940786265
353	0.6939962614
354	0.6939068849
355	0.693832014
356	0.6936304768
357	0.6935588055
358	0.6934664263
359	0.6933432838
360	0.6932093939
361	0.6928996779
362	0.6926238245
363	0.6924893001
364	0.6923256807
365	0.6921444442
366	0.6919020793
367	0.6918559561
368	0.6917051848
369	0.6915734438
370	0.6914883072
371	0.6913678963
372	0.69130169
373	0.6911808295
374	0.691082997
375	0.6909048659
376	0.690790963
377	0.6906833763
378	0.6905372787
379	0.6903911225
380	0.6902101242
381	0.6900034658
382	0.6898946717
383	0.6897615181
384	0.689725762
385	0.6895945334
386	0.6894984742
387	0.6893854581
388	0.6892673026
389	0.6891449439
390	0.6888581825
391	0.6887238807
392	0.6886305317
393	0.6884458
394	0.6883429189
395	0.6882757475
396	0.6880589762
397	0.6879637221
398	0.6878366371
399	0.6877566073
