dataset,rows_total,train_rows,test_rows,positive_rate,glm_roc_auc,tabpfn_roc_auc,delta_roc_tab_minus_glm,glm_pr_auc,tabpfn_pr_auc,delta_pr_tab_minus_glm,tabpfn_beats_glm_roc,tabpfn_beats_glm_pr
EU Direct Lapse,23060,10000,4612,0.12810060711188204,0.5943290112695152,0.5863137731646588,-0.008015238104856381,0.16881619673204523,0.1718947593617562,0.003078562629710957,False,True
COIL 2000 (NL),9822,7857,1965,0.059661983302789656,0.6955845080845082,0.7177984052984053,0.022213897213897105,0.13324726546324822,0.12857376188116942,-0.004673503582078797,True,False
Aus. Vehicle (AU),67856,10000,13572,0.06814430558830464,0.6587250902361205,0.6591155684822166,0.0003904782460961709,0.10627598108918945,0.10591791814358385,-0.00035806294560560004,True,False
freMTPL2 Binary (FR),50000,10000,10000,0.05024,0.5980647844503225,0.613148689722055,0.015083905271732534,0.07295702559665747,0.08076910387736977,0.007812078280712301,True,True
