timestamp_utc,source_results_log,model_path,data_path,target_col,rows,seed,device,upstream_src,reload_eval_roc_auc,reload_eval_log_loss,logged_post_step_roc_auc,logged_post_step_log_loss
2026-04-01T23:39:03.921609+00:00,/Users/Scott/Documents/Data Science/ADSWP/TabPFN-work-scott/outputs/current/tables/tabpfn_finetune_trial_results.csv,/Users/Scott/Documents/Data Science/ADSWP/TabPFN-work-scott/outputs/current/models/20260401T233616Z_tabpfn_finetune_CARAVAN_cpu_300.tabpfn_fit,/Users/Scott/Documents/Data Science/ADSWP/TabPFN-work-scott/data/raw/coil2000.csv,CARAVAN,300,42,cpu,/Users/Scott/Documents/Data Science/ADSWP/TabPFN-upstream/src,0.708235,0.212327,0.712941,0.212082
2026-04-01T23:47:48.759999+00:00,/Users/Scott/Documents/Data Science/ADSWP/TabPFN-work-scott/outputs/current/tables/tabpfn_finetune_trial_results.csv,/Users/Scott/Documents/Data Science/ADSWP/TabPFN-work-scott/outputs/current/models/20260401T234732Z_tabpfn_finetune_CARAVAN_cpu_500.tabpfn_fit,/Users/Scott/Documents/Data Science/ADSWP/TabPFN-work-scott/data/raw/coil2000.csv,CARAVAN,500,42,cpu,/Users/Scott/Documents/Data Science/ADSWP/TabPFN-upstream/src,0.334909,0.251210,0.335697,0.247458
2026-04-01T23:48:15.087584+00:00,/Users/Scott/Documents/Data Science/ADSWP/TabPFN-work-scott/outputs/current/tables/tabpfn_finetune_trial_results.csv,/Users/Scott/Documents/Data Science/ADSWP/TabPFN-work-scott/outputs/current/models/20260401T234752Z_tabpfn_finetune_CARAVAN_cpu_1000.tabpfn_fit,/Users/Scott/Documents/Data Science/ADSWP/TabPFN-work-scott/data/raw/coil2000.csv,CARAVAN,1000,42,cpu,/Users/Scott/Documents/Data Science/ADSWP/TabPFN-upstream/src,0.509653,0.285622,0.510441,0.279599
2026-04-01T23:48:48.125649+00:00,/Users/Scott/Documents/Data Science/ADSWP/TabPFN-work-scott/outputs/current/tables/tabpfn_finetune_trial_results.csv,/Users/Scott/Documents/Data Science/ADSWP/TabPFN-work-scott/outputs/current/models/20260401T234819Z_tabpfn_finetune_CARAVAN_cpu_1000.tabpfn_fit,/Users/Scott/Documents/Data Science/ADSWP/TabPFN-work-scott/data/raw/coil2000.csv,CARAVAN,1000,42,cpu,/Users/Scott/Documents/Data Science/ADSWP/TabPFN-upstream/src,0.606777,0.226691,0.598306,0.226998
2026-04-01T23:49:30.956348+00:00,/Users/Scott/Documents/Data Science/ADSWP/TabPFN-work-scott/outputs/current/tables/tabpfn_finetune_trial_results.csv,/Users/Scott/Documents/Data Science/ADSWP/TabPFN-work-scott/outputs/current/models/20260401T234852Z_tabpfn_finetune_CARAVAN_cpu_1000.tabpfn_fit,/Users/Scott/Documents/Data Science/ADSWP/TabPFN-work-scott/data/raw/coil2000.csv,CARAVAN,1000,42,cpu,/Users/Scott/Documents/Data Science/ADSWP/TabPFN-upstream/src,0.606777,0.226691,0.600670,0.226744
2026-04-01T23:50:04.098647+00:00,/Users/Scott/Documents/Data Science/ADSWP/TabPFN-work-scott/outputs/current/tables/tabpfn_finetune_trial_results.csv,/Users/Scott/Documents/Data Science/ADSWP/TabPFN-work-scott/outputs/current/models/20260401T234935Z_tabpfn_finetune_CARAVAN_mps_1000.tabpfn_fit,/Users/Scott/Documents/Data Science/ADSWP/TabPFN-work-scott/data/raw/coil2000.csv,CARAVAN,1000,42,cpu,/Users/Scott/Documents/Data Science/ADSWP/TabPFN-upstream/src,0.509653,0.285622,0.510835,0.279597
2026-04-01T23:54:29.817502+00:00,/Users/Scott/Documents/Data Science/ADSWP/TabPFN-work-scott/outputs/current/tables/tabpfn_finetune_trial_results.csv,/Users/Scott/Documents/Data Science/ADSWP/TabPFN-work-scott/outputs/current/models/20260401T235355Z_tabpfn_finetune_CARAVAN_cpu_2000.tabpfn_fit,/Users/Scott/Documents/Data Science/ADSWP/TabPFN-work-scott/data/raw/coil2000.csv,CARAVAN,2000,42,cpu,/Users/Scott/Documents/Data Science/ADSWP/TabPFN-upstream/src,0.575576,0.229997,0.573754,0.228628
2026-04-01T23:55:20.772736+00:00,/Users/Scott/Documents/Data Science/ADSWP/TabPFN-work-scott/outputs/current/tables/tabpfn_finetune_trial_results.csv,/Users/Scott/Documents/Data Science/ADSWP/TabPFN-work-scott/outputs/current/models/20260401T235434Z_tabpfn_finetune_CARAVAN_cpu_2000.tabpfn_fit,/Users/Scott/Documents/Data Science/ADSWP/TabPFN-work-scott/data/raw/coil2000.csv,CARAVAN,2000,42,cpu,/Users/Scott/Documents/Data Science/ADSWP/TabPFN-upstream/src,0.627684,0.222667,0.630689,0.222261
2026-04-01T23:56:20.958714+00:00,/Users/Scott/Documents/Data Science/ADSWP/TabPFN-work-scott/outputs/current/tables/tabpfn_finetune_trial_results.csv,/Users/Scott/Documents/Data Science/ADSWP/TabPFN-work-scott/outputs/current/models/20260401T235524Z_tabpfn_finetune_CARAVAN_cpu_2000.tabpfn_fit,/Users/Scott/Documents/Data Science/ADSWP/TabPFN-work-scott/data/raw/coil2000.csv,CARAVAN,2000,42,cpu,/Users/Scott/Documents/Data Science/ADSWP/TabPFN-upstream/src,0.627684,0.222667,0.631477,0.221829
2026-04-01T23:56:59.610833+00:00,/Users/Scott/Documents/Data Science/ADSWP/TabPFN-work-scott/outputs/current/tables/tabpfn_finetune_trial_results.csv,/Users/Scott/Documents/Data Science/ADSWP/TabPFN-work-scott/outputs/current/models/20260401T235625Z_tabpfn_finetune_CARAVAN_mps_2000.tabpfn_fit,/Users/Scott/Documents/Data Science/ADSWP/TabPFN-work-scott/data/raw/coil2000.csv,CARAVAN,2000,42,cpu,/Users/Scott/Documents/Data Science/ADSWP/TabPFN-upstream/src,0.575576,0.229997,0.572818,0.228705
