timestamp_utc,stage,target_dataset,seed,model_family,model_variant,target_rows,pool_rows,train_rows,test_rows,tabpfn_device,tabpfn_context_samples,tabpfn_max_finetune_steps,fine_tune_steps_executed,roc_auc,pr_auc,brier,log_loss,ece,fit_predict_wall_time_sec,upstream_src,notes,max_rss_bytes,total_run_wall_time_sec
2026-04-02T00:23:09.207744+00:00,A,freMTPL2freq_binary,42,tree,catboost,2500,3000,1750,750,cpu,64,1,,,,,,,,/Users/Scott/Documents/Data Science/ADSWP/TabPFN-upstream/src,catboost_not_available: No module named 'catboost',3383066624,465.085943
2026-04-02T00:30:40.700314+00:00,A,freMTPL2freq_binary,42,tabpfn,raw,2500,3000,1750,750,cpu,64,1,,0.5412477823772915,0.059616786985510165,0.0482951262922927,0.2014129193562708,0.004790197273095447,451.519746,/Users/Scott/Documents/Data Science/ADSWP/TabPFN-upstream/src,,3383066624,465.085944
2026-04-02T00:30:53.583199+00:00,A,freMTPL2freq_binary,42,tabpfn,domain_finetuned,2500,3000,1750,750,cpu,64,1,1,0.5819411590774689,0.08141669250298333,0.04864090627496384,0.20236538336916574,0.015809001897772155,12.875322,/Users/Scott/Documents/Data Science/ADSWP/TabPFN-upstream/src,,3383066624,465.085945
2026-04-02T00:36:35.713129+00:00,A,eudirectlapse,42,glm,logistic_regression,800,1200,560,240,cpu,64,1,,0.6565828059885785,0.23728068427897062,0.11095071213295514,0.3713697596458771,0.040267713731866224,0.014378,/Users/Scott/Documents/Data Science/ADSWP/TabPFN-upstream/src,,782172160,27.578474
2026-04-02T00:36:36.075745+00:00,A,eudirectlapse,42,tree,random_forest,800,1200,560,240,cpu,64,1,,0.6109739157277356,0.18434809012170655,0.11157259259259258,0.37934400497351906,0.03288888888888891,0.362294,/Users/Scott/Documents/Data Science/ADSWP/TabPFN-upstream/src,,782172160,27.578477
2026-04-02T00:36:36.076055+00:00,A,eudirectlapse,42,tree,catboost,800,1200,560,240,cpu,64,1,,,,,,,,/Users/Scott/Documents/Data Science/ADSWP/TabPFN-upstream/src,catboost_not_available: No module named 'catboost',782172160,27.578479
2026-04-02T00:36:57.096693+00:00,A,eudirectlapse,42,tabpfn,raw,800,1200,560,240,cpu,64,1,,0.5895971600555641,0.21375029103708093,0.11175059351572172,0.38214555881026807,0.020949607777098818,21.021794,/Users/Scott/Documents/Data Science/ADSWP/TabPFN-upstream/src,,782172160,27.578479
2026-04-02T00:37:03.049690+00:00,A,eudirectlapse,42,tabpfn,domain_finetuned,800,1200,560,240,cpu,64,1,1,0.6365179811699336,0.21537927398893353,0.11111129056996553,0.3792607746459372,0.018000665927926703,5.953015,/Users/Scott/Documents/Data Science/ADSWP/TabPFN-upstream/src,,782172160,27.578480
2026-04-02T00:38:33.398114+00:00,A,eudirectlapse,42,glm,logistic_regression,2500,3000,1750,750,cpu,64,3,,0.6070017838939857,0.19440342409558398,0.11084531564982521,0.38183301070139414,0.023300397199199668,0.057955,/Users/Scott/Documents/Data Science/ADSWP/TabPFN-upstream/src,,1729134592,168.263095
2026-04-02T00:38:33.935066+00:00,A,eudirectlapse,42,tree,random_forest,2500,3000,1750,750,cpu,64,3,,0.5655501401630989,0.17015240983408525,0.11205496296296295,0.38494864597551426,0.021991111111111118,0.536486,/Users/Scott/Documents/Data Science/ADSWP/TabPFN-upstream/src,,1729134592,168.263097
2026-04-02T00:38:33.935376+00:00,A,eudirectlapse,42,tree,catboost,2500,3000,1750,750,cpu,64,3,,,,,,,,/Users/Scott/Documents/Data Science/ADSWP/TabPFN-upstream/src,catboost_not_available: No module named 'catboost',1729134592,168.263098
2026-04-02T00:41:05.768929+00:00,A,eudirectlapse,42,tabpfn,raw,2500,3000,1750,750,cpu,64,3,,0.576309250764526,0.16755761085904505,0.1113256722694111,0.3832580073427696,0.020133477578560516,151.840404,/Users/Scott/Documents/Data Science/ADSWP/TabPFN-upstream/src,,1729134592,168.263100
2026-04-02T00:41:21.339129+00:00,A,eudirectlapse,42,tabpfn,domain_finetuned,2500,3000,1750,750,cpu,64,3,3,0.5339019495412844,0.13382349623810377,0.11413543972568148,0.3970422534235211,0.04315218710899354,15.570566,/Users/Scott/Documents/Data Science/ADSWP/TabPFN-upstream/src,,1729134592,168.263101
2026-04-02T00:41:24.106112+00:00,A,coil2000,42,glm,logistic_regression,2500,3000,1750,750,cpu,64,3,,0.7427738376674548,0.14689539922907485,0.055425439466697146,0.2093753990787352,0.011432109308600913,0.033243,/Users/Scott/Documents/Data Science/ADSWP/TabPFN-upstream/src,,2503409664,254.775313
2026-04-02T00:41:24.534813+00:00,A,coil2000,42,tree,random_forest,2500,3000,1750,750,cpu,64,3,,0.6868242710795903,0.12701080793731256,0.058697530344415896,0.26112729269526425,0.02206357611957672,0.428282,/Users/Scott/Documents/Data Science/ADSWP/TabPFN-upstream/src,,2503409664,254.775315
2026-04-02T00:41:24.535105+00:00,A,coil2000,42,tree,catboost,2500,3000,1750,750,cpu,64,3,,,,,,,,/Users/Scott/Documents/Data Science/ADSWP/TabPFN-upstream/src,catboost_not_available: No module named 'catboost',2503409664,254.775316
2026-04-02T00:45:22.600119+00:00,A,coil2000,42,tabpfn,raw,2500,3000,1750,750,cpu,64,3,,0.7566115051221435,0.17350748378125744,0.05389694713465484,0.20592130241643403,0.013100209832191467,238.080603,/Users/Scott/Documents/Data Science/ADSWP/TabPFN-upstream/src,,2503409664,254.775317
2026-04-02T00:45:38.619188+00:00,A,coil2000,42,tabpfn,domain_finetuned,2500,3000,1750,750,cpu,64,3,3,0.5531757289204098,0.06726804799678,0.056559988901571934,0.22755579398460837,0.007597404817740126,16.014224,/Users/Scott/Documents/Data Science/ADSWP/TabPFN-upstream/src,,2503409664,254.775317
