model,roc_auc,pr_auc,accuracy,fit_time_s,pred_time_s
LogisticRegression,0.5991139579811742,0.1898167127949277,0.5743712055507372,0.06115984916687012,0.011569976806640625
TabPFN,0.5928755589836943,0.1872013220256332,0.8718560277536861,2.528430938720703,3.6319286823272705
CatBoost,0.5909381836727738,0.19272376915987435,0.8720728534258456,2.2955965995788574,0.03986406326293945
RandomForest,0.5776967872981568,0.1673999611294093,0.8714223764093668,1.5989069938659668,0.12118291854858398
XGBoost,0.5511037442597262,0.15839784645702137,0.8627493495229835,0.5439260005950928,0.024260282516479492
