model,roc_auc,pr_auc,accuracy,fit_time_s,pred_time_s
LogisticRegression,0.5991139579811742,0.1898167127949277,0.5743712055507372,0.03868293762207031,0.009792089462280273
TabPFN,0.5928755589836943,0.1872013220256332,0.8718560277536861,1.8858778476715088,7.626262903213501
CatBoost,0.5909381836727738,0.19272376915987435,0.8720728534258456,1.6627330780029297,0.04373788833618164
RandomForest,0.5776967872981568,0.1673999611294093,0.8714223764093668,0.9921720027923584,0.06728601455688477
XGBoost,0.5512346138778182,0.15473179819345145,0.8566782307025151,0.3291339874267578,0.015650033950805664
