run,mean,std,min,max
0,0.12390591578744352,0.023819988782541168,0.0733553022146225,0.2214896231889725
1,0.12242292388016358,0.03625427255626295,0.02999221533536911,0.2490234375
2,0.12749541080370547,0.022552138936244387,0.07645371556282043,0.2312576323747635
3,0.11854646753985434,0.031698295252013106,0.03833943977952003,0.1690467447042465
4,0.11692796709761023,0.017272165008133868,0.08431971073150635,0.205078125
5,0.10090145659819245,0.017447543282839453,0.07048270106315613,0.1875
6,0.11235248616267927,0.056121587556811105,0.00926978513598442,0.2228459864854813
7,0.11996494868956506,0.025483621147672646,0.06721201539039612,0.1854474395513535
8,0.10657898033596576,0.026256808862165443,0.03748016059398651,0.1812522858381271
9,0.10579964570514858,0.01465446477111343,0.09542707353830338,0.2649572789669037
