model,roc_auc,pr_auc,accuracy,fit_time_s,pred_time_s
LogisticRegression,0.5991139579811742,0.1898167127949277,0.5743712055507372,0.04607391357421875,0.009079217910766602
TabPFN,0.5928755589836943,0.1872013220256332,0.8718560277536861,0.10315704345703125,7.2320568561553955
CatBoost,0.5909381836727738,0.19272376915987435,0.8720728534258456,1.6498219966888428,0.03463888168334961
RandomForest,0.5776967872981568,0.1673999611294093,0.8714223764093668,1.2494840621948242,0.06206798553466797
XGBoost,0.5511037442597262,0.15839784645702137,0.8627493495229835,0.26157593727111816,0.014081954956054688
