model,roc_auc,pr_auc,accuracy,fit_time_s,pred_time_s
LogisticRegression,0.5991139579811742,0.1898167127949277,0.5743712055507372,0.04005622863769531,0.008643150329589844
TabPFN,0.5928755589836943,0.1872013220256332,0.8718560277536861,0.10144400596618652,6.951398849487305
CatBoost,0.5909381836727738,0.19272376915987435,0.8720728534258456,1.681985855102539,0.035562992095947266
RandomForest,0.5776967872981568,0.1673999611294093,0.8714223764093668,0.754410982131958,0.06361770629882812
XGBoost,0.5511037442597262,0.15839784645702137,0.8627493495229835,0.27158379554748535,0.014767885208129883
