model,roc_auc,pr_auc,accuracy,fit_time_s,pred_time_s
LogisticRegression,0.6311362532563387,0.19973328217514214,0.574,0.19686293601989746,0.013648748397827148
CatBoost,0.6166611984001521,0.18443415077804298,0.872,2.17374324798584,0.05131220817565918
RandomForest,0.5950082699323942,0.16645829921796895,0.872,2.195819139480591,0.2510862350463867
XGBoost,0.5777809793243248,0.16142947305986988,0.86375,0.5078511238098145,0.020639896392822266
TabPFN,0.5692530160350584,0.16744673449468284,0.87275,0.025600910186767578,2.2879490852355957
