run,mean,std,min,max
0,0.12696806177869438,0.025635689747403496,0.0703125,0.23193359375
1,0.12252772078942507,0.03812774775341762,0.03024384379386902,0.273260086774826
2,0.12824361442774534,0.025488617802198348,0.07410572469234467,0.2294921875
3,0.12050542019400745,0.03077194201327877,0.03888651356101036,0.1656291931867599
4,0.11204475700110197,0.015659240415173303,0.07746779918670654,0.2196312993764877
5,0.10167560358345508,0.015581656970327522,0.07275390625,0.1651409715414047
6,0.11337231110059656,0.057669990101067554,0.01032941229641438,0.2245147079229355
7,0.11914802685752511,0.02182449734541669,0.07485651224851608,0.1680703014135361
8,0.10703667375724762,0.025956999521634123,0.03793913871049881,0.1783229559659958
9,0.10758750653266906,0.011502432684973743,0.09765625,0.1885756105184555
