model,roc_auc,pr_auc,accuracy,fit_time_s,pred_time_s
LogisticRegression,0.5991139579811742,0.1898167127949277,0.5743712055507372,0.042748212814331055,0.008520841598510742
TabPFN,0.5928755589836943,0.1872013220256332,0.8718560277536861,0.11069107055664062,7.0300211906433105
CatBoost,0.5909381836727738,0.19272376915987435,0.8720728534258456,1.5682651996612549,0.03671073913574219
RandomForest,0.5776967872981568,0.1673999611294093,0.8714223764093668,2.2863571643829346,0.07725691795349121
XGBoost,0.5511037442597262,0.15839784645702137,0.8627493495229835,0.280764102935791,0.013426780700683594
