model,roc_auc,pr_auc,accuracy,fit_time_s,pred_time_s
LogisticRegression,0.5991139579811742,0.1898167127949277,0.5743712055507372,0.04031491279602051,0.008463859558105469
TabPFN,0.5928755589836943,0.1872013220256332,0.8718560277536861,0.1057741641998291,4.712557792663574
CatBoost,0.5909381836727738,0.19272376915987435,0.8720728534258456,1.6503431797027588,0.03641986846923828
RandomForest,0.5776967872981568,0.1673999611294093,0.8714223764093668,1.106438159942627,0.06557989120483398
XGBoost,0.5511037442597262,0.15839784645702137,0.8627493495229835,0.26410698890686035,0.014668941497802734
