model,roc_auc,pr_auc,accuracy,fit_time_s,pred_time_s
LogisticRegression,0.5991139579811742,0.1898167127949277,0.5743712055507372,0.04321694374084473,0.011489152908325195
TabPFN,0.5928755589836943,0.1872013220256332,0.8718560277536861,0.11180877685546875,7.221220016479492
CatBoost,0.5909381836727738,0.19272376915987435,0.8720728534258456,3.5708420276641846,0.042471885681152344
RandomForest,0.5776967872981568,0.1673999611294093,0.8714223764093668,1.4297208786010742,0.07921600341796875
XGBoost,0.5511037442597262,0.15839784645702137,0.8627493495229835,0.44277477264404297,0.024542808532714844
